Estado,IBGE-Code,Município,PET_01,PET_02,PET_03,PET_04,PET_05,PET_06,PET_07,PET_08,PET_09,PET_10,PET_11,PET_12,PR_01,PR_02,PR_03,PR_04,PR_05,PR_06,PR_07,PR_08,PR_09,PR_10,PR_11,PR_12,latitude,longitude
PR,4118105,Paranacity,"124,93","113,74","117,45","96,95","76,03","63,21","72,62","98,12","109,11","122,10","130,87","136,14","180,60","183,73","88,30","75,27","92,60","74,13","68,17","43,83","56,97","155,97","135,03","103,03",-22.84732351060548,-52.144635795764216
PR,4118204,Paranaguá,"117,51","101,18","102,65","80,08","59,23","46,90","49,32","61,06","67,38","87,40","103,90","117,34","322,33","282,13","301,10","162,17","113,90","104,47","94,50","72,80","117,33","175,80","155,73","187,07",-25.52652912403171,-48.51769324199063
PR,4118303,Paranapoema,"126,69","115,48","121,03","100,55","79,72","67,11","77,51","103,75","113,80","126,34","134,32","138,49","184,07","169,40","80,20","69,83","86,37","67,53","47,10","39,03","54,83","148,60","137,03","110,00",-22.66046294113424,-52.10261100502322
PR,4118402,Paranavaí,"123,40","113,66","116,01","95,44","74,90","62,17","71,52","95,73","105,77","119,16","130,65","133,60","169,90","165,73","80,93","77,67","93,27","80,03","56,37","42,10","68,40","160,73","135,03","113,13",-22.92123260861199,-52.51056200064176
PR,4118451,Pato Bragado,"140,31","124,08","120,05","93,76","67,22","56,06","65,68","92,68","103,66","124,38","137,60","151,24","172,17","164,10","118,60","118,70","139,87","125,93","94,13","69,33","115,40","224,07","136,50","174,20",-24.634217232242296,-54.2482289240692
PR,4118501,Pato Branco,"131,68","111,95","107,37","82,43","59,69","48,32","55,33","79,54","89,58","110,62","127,41","140,39","198,60","168,93","152,57","144,10","116,00","144,30","139,07","116,40","173,20","223,20","126,23","192,57",-26.16908262537047,-52.66325913590765
PR,4118600,Paula Freitas,"113,28","95,66","93,32","67,24","52,02","40,42","46,78","63,21","72,68","94,04","113,08","124,53","172,97","160,53","136,97","111,77","109,73","122,57","97,27","103,50","146,83","185,30","128,13","148,27",-26.177372570775944,-50.8608399953044
PR,4118709,Paulo Frontin,"111,88","94,94","92,72","67,34","52,08","40,71","46,91","63,97","73,26","93,49","112,75","123,80","179,80","167,93","136,43","110,43","101,40","120,77","89,27","99,20","145,00","183,63","122,87","147,93",-26.06079341423537,-50.74872431240704
PR,4118808,Peabiru,"123,60","109,76","107,89","87,30","65,38","53,33","61,14","80,98","93,25","110,26","126,12","133,60","189,53","152,57","109,20","80,70","114,03","100,63","75,00","65,20","101,90","169,67","115,37","170,47",-23.931063604328056,-52.327024261120535
PR,4118857,Perobal,"136,26","123,37","117,26","93,99","70,82","58,06","67,37","93,73","104,02","122,16","135,36","146,01","163,43","133,87","102,23","101,93","111,37","128,63","97,30","56,53","136,50","170,13","105,37","152,60",-23.923003359693528,-53.36507769114203
PR,4118907,Pérola,"138,19","123,56","118,25","95,62","72,05","60,88","70,52","98,04","107,47","124,52","137,56","146,78","136,00","137,87","88,37","79,00","122,67","121,87","102,47","51,37","122,80","174,10","102,83","158,07",-23.830874997621244,-53.70705056354692
PR,4119004,Pérola d'Oeste,"136,78","119,76","113,19","87,25","60,19","49,38","57,50","81,98","93,47","115,47","131,63","148,26","213,33","171,77","145,57","139,87","126,73","152,83","110,83","85,93","155,90","234,87","108,30","204,80",-25.849885472854336,-53.75893206993114
PR,4119103,Piên,"108,34","90,71","91,69","67,98","50,22","39,53","45,57","62,54","70,85","89,17","100,59","114,54","190,10","179,53","148,03","88,63","88,53","107,00","80,20","86,80","121,53","154,77","117,30","151,63",-26.09071999460921,-49.45327462046176
PR,4119152,Pinhais,"109,51","94,66","97,28","75,98","57,31","45,94","52,31","69,32","76,91","96,02","104,98","117,91","251,83","214,47","181,07","112,07","101,27","106,30","95,00","80,53","140,00","178,80","142,07","171,37",-25.41982839049247,-49.15564507402164
PR,4119202,Pinhalão,"114,54","102,05","106,44","85,64","65,02","52,62","61,21","82,71","93,56","109,09","119,95","126,01","201,13","164,97","105,23","97,53","66,40","82,77","58,30","54,23","83,63","155,87","116,17","135,77",-23.90347719740408,-50.06133591562967
PR,4119251,Pinhal de São Bento,"136,02","119,44","112,01","85,97","60,42","50,41","58,48","83,73","93,40","114,44","129,84","147,03","220,50","169,47","153,20","142,77","142,47","165,00","125,37","103,23","161,50","244,43","108,83","213,10",-26.01598809425063,-53.47808116159223
PR,4119301,Pinhão,"116,84","98,15","97,26","76,42","56,48","46,12","51,64","73,53","82,33","99,44","114,89","124,68","196,40","152,70","143,03","123,67","113,40","144,07","103,47","107,37","170,60","205,07","137,27","163,87",-25.785475229415347,-51.63237872972668
PR,4119400,Piraí do Sul,"108,84","92,92","98,82","79,63","58,85","47,83","55,75","74,87","82,41","98,07","106,05","114,26","241,10","187,20","135,20","99,53","91,87","97,30","81,03","68,80","109,67","162,40","139,07","150,30",-24.47471998573037,-49.92764456277588
PR,4119509,Piraquara,"112,87","96,09","96,18","75,94","57,72","45,87","53,26","69,98","77,29","95,88","105,39","117,34","261,17","231,33","198,23","122,73","105,37","113,00","94,30","82,67","145,70","189,60","151,63","182,70",-25.472416179454687,-49.052331162620746
PR,4119608,Pitanga,"119,74","103,61","104,95","82,92","61,91","50,57","56,69","79,07","89,65","106,52","121,09","126,49","262,23","150,10","108,40","88,83","100,80","136,17","106,73","79,73","141,70","227,80","104,40","181,07",-24.69109147592297,-51.78041376796753
