IBGE-Code,Município,UF,CAD ou AWC (m³/m³),DTA (mm/m)
2911303,Gentio do Ouro,BA,"0,115","115,0"
2911402,Glória,BA,"0,068","67,8"
2911501,Gongogi,BA,"0,117","117,0"
2911600,Governador Mangabeira,BA,"0,090","90,1"
2911659,Guajeru,BA,"0,097","96,8"
2911709,Guanambi,BA,"0,105","105,5"
2911808,Guaratinga,BA,"0,114","114,1"
2911857,Heliópolis,BA,"0,101","100,6"
2911907,Iaçu,BA,"0,084","83,6"
2912004,Ibiassucê,BA,"0,114","114,1"
2912103,Ibicaraí,BA,"0,115","115,0"
2912202,Ibicoara,BA,"0,123","123,1"
2912301,Ibicuí,BA,"0,121","121,5"
2912400,Ibipeba,BA,"0,128","127,8"
2912509,Ibipitanga,BA,"0,110","110,5"
2912608,Ibiquera,BA,"0,107","106,8"
2912707,Ibirapitanga,BA,"0,114","114,5"
2912806,Ibirapuã,BA,"0,105","105,5"
2912905,Ibirataia,BA,"0,096","96,4"
2913002,Ibitiara,BA,"0,118","117,5"
2913101,Ibititá,BA,"0,142","142,1"
2913200,Ibotirama,BA,"0,132","132,1"
2913309,Ichu,BA,"0,089","89,0"
2913408,Igaporã,BA,"0,138","138,3"
2913457,Igrapiúna,BA,"0,107","107,0"
2913507,Iguaí,BA,"0,114","114,1"
2913606,Ilhéus,BA,"0,108","108,4"
2913705,Inhambupe,BA,"0,100","100,4"
2913804,Ipecaetá,BA,"0,084","83,6"
2913903,Ipiaú,BA,"0,097","97,4"
2914000,Ipirá,BA,"0,091","90,9"
2914109,Ipupiara,BA,"0,125","124,7"
2914208,Irajuba,BA,"0,116","115,7"
2914307,Iramaia,BA,"0,102","101,9"
2914406,Iraquara,BA,"0,121","121,1"
2914505,Irará,BA,"0,060","59,8"
2914604,Irecê,BA,"0,142","142,1"
2914653,Itabela,BA,"0,117","116,9"
2914703,Itaberaba,BA,"0,082","82,4"
2914802,Itabuna,BA,"0,116","115,9"
2914901,Itacaré,BA,"0,110","109,9"
2915007,Itaeté,BA,"0,118","118,3"
2915106,Itagi,BA,"0,113","113,4"
2915205,Itagibá,BA,"0,119","119,1"
2915304,Itagimirim,BA,"0,112","111,8"
2915353,Itaguaçu da Bahia,BA,"0,120","120,3"
2915403,Itaju do Colônia,BA,"0,123","122,8"
2915502,Itajuípe,BA,"0,114","113,9"
2915601,Itamaraju,BA,"0,115","114,6"
2915700,Itamari,BA,"0,103","102,6"
2915809,Itambé,BA,"0,092","92,3"
2915908,Itanagra,BA,"0,092","92,5"
2916005,Itanhém,BA,"0,117","117,4"
2916104,Itaparica,BA,"0,019","18,5"
2916203,Itapé,BA,"0,120","120,5"
2916302,Itapebi,BA,"0,109","108,9"
2916401,Itapetinga,BA,"0,119","118,9"
2916500,Itapicuru,BA,"0,096","96,1"
2916609,Itapitanga,BA,"0,119","118,7"
2916708,Itaquara,BA,"0,095","94,6"
2916807,Itarantim,BA,"0,114","113,8"
2916856,Itatim,BA,"0,084","84,3"
2916906,Itiruçu,BA,"0,105","105,3"
2917003,Itiúba,BA,"0,085","84,5"
2917102,Itororó,BA,"0,119","119,3"
2917201,Ituaçu,BA,"0,111","110,6"
2917300,Ituberá,BA,"0,102","102,2"
2917334,Iuiu,BA,"0,156","155,9"
2917359,Jaborandi,BA,"0,069","68,5"
2917409,Jacaraci,BA,"0,121","120,9"
2917508,Jacobina,BA,"0,093","93,0"
2917607,Jaguaquara,BA,"0,101","100,9"
2917706,Jaguarari,BA,"0,089","89,0"
2917805,Jaguaripe,BA,"0,093","93,1"
2917904,Jandaíra,BA,"0,093","92,6"
2918001,Jequié,BA,"0,100","99,5"
2918100,Jeremoabo,BA,"0,079","79,1"
2918209,Jiquiriçá,BA,"0,102","102,2"
2918308,Jitaúna,BA,"0,105","105,2"
2918357,João Dourado,BA,"0,142","142,1"
2918407,Juazeiro,BA,"0,117","116,7"
2918456,Jucuruçu,BA,"0,118","117,6"
2918506,Jussara,BA,"0,142","142,1"
2918555,Jussari,BA,"0,117","116,7"
2918605,Jussiape,BA,"0,101","101,3"
2918704,Lafaiete Coutinho,BA,"0,097","97,5"
2918753,Lagoa Real,BA,"0,102","102,3"
2918803,Laje,BA,"0,111","111,0"
2918902,Lajedão,BA,"0,102","101,8"
2919009,Lajedinho,BA,"0,121","121,4"
2919058,Lajedo do Tabocal,BA,"0,107","106,7"
2919108,Lamarão,BA,"0,092","92,1"
2919157,Lapão,BA,"0,142","142,1"
2919207,Lauro de Freitas,BA,"0,105","104,6"
2919306,Lençóis,BA,"0,127","127,0"
2919405,Licínio de Almeida,BA,"0,136","135,8"
2919504,Livramento de Nossa Senhora,BA,"0,105","104,5"
2919553,Luís Eduardo Magalhães,BA,"0,088","88,1"
2919603,Macajuba,BA,"0,099","98,8"
2919702,Macarani,BA,"0,096","96,5"
2919801,Macaúbas,BA,"0,157","156,8"
2919900,Macururé,BA,"0,080","80,4"
2919926,Madre de Deus,BA,"0,006","6,2"
2919959,Maetinga,BA,"0,089","89,2"
2920007,Maiquinique,BA,"0,100","99,6"
2920106,Mairi,BA,"0,084","84,4"
2920205,Malhada,BA,"0,153","152,8"
2920304,Malhada de Pedras,BA,"0,087","86,6"
2920403,Manoel Vitorino,BA,"0,095","94,7"
2920452,Mansidão,BA,"0,087","87,4"
2920502,Maracás,BA,"0,118","118,1"
2920601,Maragogipe,BA,"0,104","104,2"
2920700,Maraú,BA,"0,106","105,6"
2920809,Marcionílio Souza,BA,"0,107","107,4"
2920908,Mascote,BA,"0,108","108,5"
2921005,Mata de São João,BA,"0,086","85,7"
2921054,Matina,BA,"0,088","88,4"
2921104,Medeiros Neto,BA,"0,097","96,8"
2921203,Miguel Calmon,BA,"0,084","83,9"
2921302,Milagres,BA,"0,092","92,1"
2921401,Mirangaba,BA,"0,142","142,1"
2921450,Mirante,BA,"0,102","102,0"
2921500,Monte Santo,BA,"0,080","80,3"
2921609,Morpará,BA,"0,103","102,8"
2921708,Morro do Chapéu,BA,"0,128","128,2"
2921807,Mortugaba,BA,"0,116","115,9"
2921906,Mucugê,BA,"0,125","124,9"
2922003,Mucuri,BA,"0,089","88,6"
2922052,Mulungu do Morro,BA,"0,123","122,6"
2922102,Mundo Novo,BA,"0,110","109,8"
2922201,Muniz Ferreira,BA,"0,130","129,9"
2922250,Muquém do São Francisco,BA,"0,092","91,6"
2922300,Muritiba,BA,"0,089","88,9"
2922409,Mutuípe,BA,"0,088","87,6"
2922508,Nazaré,BA,"0,123","123,0"
2922607,Nilo Peçanha,BA,"0,110","109,6"
2922656,Nordestina,BA,"0,081","81,3"
2922706,Nova Canaã,BA,"0,111","110,5"
2922730,Nova Fátima,BA,"0,089","88,5"
2922755,Nova Ibiá,BA,"0,099","98,9"
2922805,Nova Itarana,BA,"0,100","100,3"
2922854,Nova Redenção,BA,"0,122","121,8"
2922904,Nova Soure,BA,"0,078","78,5"
2923001,Nova Viçosa,BA,"0,089","88,6"
2923035,Novo Horizonte,BA,"0,140","139,8"
2923050,Novo Triunfo,BA,"0,077","77,1"
2923100,Olindina,BA,"0,095","95,4"
2923209,Oliveira dos Brejinhos,BA,"0,129","129,4"
2923308,Ouriçangas,BA,"0,066","65,6"
2923357,Ourolândia,BA,"0,109","109,4"
2923407,Palmas de Monte Alto,BA,"0,118","118,0"
2923506,Palmeiras,BA,"0,128","127,7"
2923605,Paramirim,BA,"0,111","110,6"
2923704,Paratinga,BA,"0,144","143,9"
2923803,Paripiranga,BA,"0,117","116,8"
2923902,Pau Brasil,BA,"0,116","116,3"
2924009,Paulo Afonso,BA,"0,076","75,5"
2924058,Pé de Serra,BA,"0,088","87,7"
2924108,Pedrão,BA,"0,074","73,5"
2924207,Pedro Alexandre,BA,"0,129","128,9"
2924306,Piatã,BA,"0,128","127,9"
2924405,Pilão Arcado,BA,"0,081","80,9"
2924504,Pindaí,BA,"0,133","133,4"
2924603,Pindobaçu,BA,"0,067","67,3"
2924652,Pintadas,BA,"0,088","87,9"
2924678,Piraí do Norte,BA,"0,125","125,4"
2924702,Piripá,BA,"0,093","93,0"
2924801,Piritiba,BA,"0,089","89,4"
2924900,Planaltino,BA,"0,112","111,7"
2925006,Planalto,BA,"0,102","101,8"
2925105,Poções,BA,"0,106","105,8"
2925204,Pojuca,BA,"0,069","69,1"
2925253,Ponto Novo,BA,"0,068","67,7"
2925303,Porto Seguro,BA,"0,116","116,4"
2925402,Potiraguá,BA,"0,120","120,0"
2925501,Prado,BA,"0,107","107,0"
2925600,Presidente Dutra,BA,"0,142","142,1"
2925709,Presidente Jânio Quadros,BA,"0,094","93,6"
2925758,Presidente Tancredo Neves,BA,"0,114","114,2"
2925808,Queimadas,BA,"0,083","83,5"
2925907,Quijingue,BA,"0,090","89,9"
2925931,Quixabeira,BA,"0,064","63,8"
2925956,Rafael Jambeiro,BA,"0,087","87,4"
2926004,Remanso,BA,"0,065","65,1"
2926103,Retirolândia,BA,"0,077","76,6"
2926202,Riachão das Neves,BA,"0,077","77,0"
2926301,Riachão do Jacuípe,BA,"0,088","87,7"
2926400,Riacho de Santana,BA,"0,109","109,0"
2926509,Ribeira do Amparo,BA,"0,093","93,3"
2926608,Ribeira do Pombal,BA,"0,093","93,3"
2926657,Ribeirão do Largo,BA,"0,098","97,5"
2926707,Rio de Contas,BA,"0,119","119,5"
2926806,Rio do Antônio,BA,"0,107","106,8"
2926905,Rio do Pires,BA,"0,130","130,1"
2927002,Rio Real,BA,"0,096","95,9"
2927101,Rodelas,BA,"0,070","70,0"
2927200,Ruy Barbosa,BA,"0,110","110,0"
2927309,Salinas da Margarida,BA,"0,038","38,4"
