Estado,IBGE-Code,Município,PET_01,PET_02,PET_03,PET_04,PET_05,PET_06,PET_07,PET_08,PET_09,PET_10,PET_11,PET_12,PR_01,PR_02,PR_03,PR_04,PR_05,PR_06,PR_07,PR_08,PR_09,PR_10,PR_11,PR_12,latitude,longitude
MS,5005202,Ladário,132.24333333333334,115.33,118.30333333333334,111.25333333333332,90.72333333333334,81.33333333333334,94.49666666666668,123.96333333333337,137.99666666666667,150.54333333333335,142.24,139.70000000000002,181.63333333333333,136.76666666666668,110.5,73.6,54.96666666666667,25.3,20.066666666666663,15.833333333333334,40.36666666666667,72.6,115.93333333333334,137.2,-19.09818294038103,-57.58200971206133
MS,5005251,Laguna Carapã,137.01,121.53333333333332,125.43666666666668,104.51333333333336,83.83333333333334,72.16000000000001,84.91333333333334,115.33333333333331,123.22666666666667,132.45333333333335,141.75666666666666,143.82333333333335,163.53333333333333,164.23333333333332,120.26666666666668,125.26666666666668,136.2,93.2,56.13333333333333,52.5,109.63333333333334,179.76666666666668,188.16666666666663,187.7333333333333,-22.691444076859117,-55.13859213925623
MS,5005400,Maracaju,133.77666666666667,118.89666666666668,124.01,107.99,89.00666666666667,79.58,92.78333333333336,120.22,127.78333333333332,140.25666666666666,140.99666666666667,141.20333333333335,191.86666666666667,169.43333333333334,116.3,115.76666666666668,122.33333333333331,70.26666666666667,47.93333333333333,36.9,89.06666666666666,146.53333333333333,156.26666666666668,186.9,-21.541600513186125,-55.3901204188097
MS,5005608,Miranda,137.14,119.41,125.27333333333334,109.05,91.2,80.66333333333334,91.51333333333334,118.74666666666668,131.12,147.81333333333336,144.29000000000002,142.9466666666667,212.7,176.9,111.06666666666666,96.7,89.6,46.333333333333336,41.1,21.9,58.43333333333333,100.93333333333334,131.66666666666666,167.06666666666666,-20.10429605859489,-56.611829205212246
MS,5005681,Mundo Novo,138.93,122.19666666666669,119.60333333333334,95.61,71.84666666666668,60.31666666666666,72.38666666666667,99.92000000000002,108.25666666666666,126.86,140.4,146.26666666666668,159.83333333333334,153.03333333333333,100.6,112.8,161.7,100.13333333333334,81.93333333333334,51.766666666666666,123.13333333333334,192.5,164.93333333333334,201.1,-23.949085474626443,-54.27620946650149
MS,5005707,Naviraí,136.4,123.53,121.07,99.95666666666668,79.4,66.95333333333333,78.23666666666668,104.44,112.31666666666668,127.58666666666666,139.20000000000002,144.6966666666667,153.46666666666667,160.96666666666667,94.76666666666668,88.33333333333333,118.9,97.3,56.2,56.16666666666666,102.1,202.76666666666668,146.0,181.36666666666667,-23.014837579142142,-54.02468118694802
MS,5005806,Nioaque,137.82333333333335,121.79666666666668,126.89666666666668,109.35,90.92000000000002,79.70666666666668,92.22666666666667,119.83333333333331,128.8733333333333,143.96,145.44333333333336,144.69333333333336,208.96666666666667,174.2,112.16666666666669,112.43333333333334,114.86666666666666,64.86666666666666,45.3,29.7,76.53333333333333,130.0,146.9,181.53333333333333,-21.110409176808755,-55.89317697791663
MS,5006002,Nova Alvorada do Sul,130.23,117.90333333333334,124.33,106.48,91.29333333333334,81.80666666666667,94.82666666666668,120.93333333333334,125.64666666666668,135.98,140.30333333333334,139.45666666666668,199.63333333333333,176.86666666666667,106.26666666666668,98.6,105.5,61.43333333333333,36.86666666666667,45.66666666666666,89.7,173.73333333333332,139.06666666666666,196.1,-21.505667901821347,-54.20434424377193
MS,5006200,Nova Andradina,132.15666666666667,118.27666666666669,123.6,104.73666666666666,87.57666666666667,77.95666666666668,89.15,115.71333333333337,120.10666666666668,132.04666666666668,138.13333333333333,142.25,182.9,173.56666666666666,94.26666666666668,87.23333333333333,90.73333333333332,62.86666666666667,29.766666666666666,48.8,81.63333333333334,181.76666666666668,140.4,172.56666666666666,-21.936859238198718,-53.41382679374675
MS,5006259,Novo Horizonte do Sul,134.09,120.37666666666668,122.02333333333334,101.50666666666667,83.16333333333334,71.46666666666667,81.93666666666667,107.33666666666666,113.16333333333336,126.1,136.00333333333333,142.82666666666668,169.76666666666668,171.16666666666666,95.5,90.2,104.26666666666668,84.33333333333333,36.16666666666666,59.833333333333336,93.4,218.66666666666663,147.5,180.26666666666668,-22.619578854129557,-53.77315290739456
MS,5006309,Paranaíba,114.28,105.69666666666669,112.64,102.08666666666667,93.11333333333334,82.71666666666667,98.06666666666666,122.14,126.44,133.8,123.09666666666668,120.08666666666666,292.7333333333333,190.3,176.86666666666667,83.3,45.86666666666667,20.1,14.9,14.9,48.2,118.03333333333332,153.16666666666666,243.2,-19.5293742767584,-51.40160055731902
MS,5006358,Paranhos,145.94333333333336,126.02,127.76666666666668,103.10666666666668,78.58666666666667,69.29666666666667,79.74000000000001,111.00333333333332,119.85333333333334,136.99333333333334,146.54333333333335,150.84,164.76666666666668,192.1,125.43333333333334,137.83333333333334,133.06666666666666,97.5,84.2,55.93333333333333,117.23333333333332,192.03333333333333,202.3,202.53333333333333,-23.697557195072974,-55.35418780744492
MS,5006408,Pedro Gomes,115.54000000000002,103.72333333333334,113.35666666666668,105.67333333333336,95.94333333333331,85.96666666666667,96.98333333333336,121.82333333333334,127.47,134.82666666666668,123.34333333333336,119.98666666666666,282.46666666666664,235.4,165.63333333333333,90.73333333333332,67.36666666666666,19.133333333333333,18.73333333333333,29.6,42.3,120.53333333333332,164.8,231.6,-17.91240676534326,-54.348074689231055
MS,5006606,Ponta Porã,136.24333333333334,121.37666666666668,126.51666666666668,105.90333333333334,85.13666666666667,75.16666666666667,88.73333333333335,119.58,126.91666666666669,138.68666666666667,143.84666666666666,143.8733333333333,177.23333333333332,159.56666666666666,124.56666666666666,127.06666666666666,142.5,87.13333333333334,47.46666666666667,47.266666666666666,100.46666666666668,161.13333333333333,183.66666666666663,184.9333333333333,-22.188387517752183,-55.5697834756336
MS,5006903,Porto Murtinho,151.57000000000002,127.99,130.43333333333334,109.46,88.39666666666668,79.37666666666667,89.7,120.48666666666666,133.36666666666667,153.45666666666668,150.71666666666667,151.64333333333337,168.56666666666666,144.6,105.26666666666668,100.6,95.2,53.9,36.16666666666666,28.766666666666666,62.266666666666666,113.73333333333332,154.4,164.63333333333333,-21.2182070109031,-57.366414043872645
MS,5007109,Ribas do Rio Pardo,124.10666666666668,115.0,122.94333333333334,110.30333333333334,96.24333333333334,86.94333333333333,101.37,128.31333333333336,131.99666666666667,143.17333333333335,137.00333333333333,135.05333333333334,230.8,184.2,108.43333333333334,90.96666666666668,89.9,41.766666666666666,35.733333333333334,33.2,73.7,132.96666666666667,125.1,199.7,-20.607352617701824,-53.55755723920588
MS,5007208,Rio Brilhante,133.3,120.27666666666669,123.95333333333332,105.51,89.41333333333334,80.93333333333334,92.76666666666668,118.36666666666667,125.20666666666666,135.11333333333334,139.94333333333336,141.55333333333334,185.16666666666663,166.63333333333333,109.23333333333332,103.23333333333332,112.1,65.86666666666666,42.266666666666666,47.3,93.8,170.7,145.8,192.03333333333333,-21.68533095864525,-54.56367035741974
MS,5007307,Rio Negro,123.97333333333334,113.60666666666668,121.06,110.38333333333333,99.17666666666668,88.61666666666667,101.8,127.26,134.11666666666667,145.5,136.63,132.8733333333333,251.13333333333333,209.4,123.43333333333334,95.13333333333334,90.76666666666668,32.06666666666667,35.36666666666667,27.73333333333333,56.4,106.33333333333331,130.56666666666666,205.83333333333331,-19.45750905402884,-54.95892908243233
